bssid, phy_type, channel, frequency, signal_strength, retry, number, data_rate, short_GI, mcs_index, time_arrived, packet_size
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,59,6,0,7,1742468841.778733,846
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,60,6,0,7,1742468841.778797,240
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,61,6,0,7,1742468841.778797,132
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,62,6,0,7,1742468841.886587,295
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-73,0,63,6,0,7,1742468841.886603,282
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,64,6,0,7,1742468841.886603,351
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,65,6,0,7,1742468841.886608,294
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,66,6,0,7,1742468841.886629,136
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,67,6,0,7,1742468841.886684,150
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,68,6,0,7,1742468841.886685,265
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,69,6,0,7,1742468841.886687,205
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-73,0,70,6,0,7,1742468841.886688,205
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,71,6,0,7,1742468841.88669,150
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-73,0,72,6,0,7,1742468841.886694,227
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,73,6,0,7,1742468841.886694,411
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,74,6,0,7,1742468841.886705,150
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,75,6,0,7,1742468841.886708,150
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,76,6,0,7,1742468841.886708,136
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,77,6,0,7,1742468841.895986,180
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,78,6,0,7,1742468841.895993,298
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-73,0,79,6,0,7,1742468841.895995,182
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,80,6,0,7,1742468841.895996,260
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,81,6,0,7,1742468841.896003,289
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,82,6,0,7,1742468841.896006,295
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,83,6,0,7,1742468841.896015,427
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,84,6,0,7,1742468841.896058,248
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,85,6,0,7,1742468841.896058,203
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,86,6,0,7,1742468841.896058,338
f4:2e:7f:2e:5f:71,802.11a (OFDM),149,5745,-74,0,87,6,0,7,1742468841.896061,238
