BSSID,PHY Type,Channel,Frequency,Signal Strength,Retry,Number,Data Rate,Short GI,MCS index,Time Arrived,Packet Arrived,Bandwidth,Rate Gap
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,63,72.2222,1,7,1743194260.664868,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,64,72.2222,1,7,1743194260.66487,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,65,72.2222,1,7,1743194260.664871,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,66,72.2222,1,7,1743194260.664882,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,70,72.2222,1,7,1743194260.665782,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,72,72.2222,1,7,1743194260.668117,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,73,72.2222,1,7,1743194260.668119,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,74,72.2222,1,7,1743194260.668121,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,75,72.2222,1,7,1743194260.668122,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,76,72.2222,1,7,1743194260.668122,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,77,72.2222,1,7,1743194260.668123,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,78,72.2222,1,7,1743194260.668124,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,79,72.2222,1,7,1743194260.669182,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,80,72.2222,1,7,1743194260.669183,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,81,72.2222,1,7,1743194260.669185,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,82,72.2222,1,7,1743194260.669186,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,83,72.2222,1,7,1743194260.669188,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,87,72.2222,1,7,1743194260.700213,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,88,72.2222,1,7,1743194260.700219,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,89,72.2222,1,7,1743194260.700221,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,90,72.2222,1,7,1743194260.700222,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,91,72.2222,1,7,1743194260.700224,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,92,72.2222,1,7,1743194260.700225,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,93,72.2222,1,7,1743194260.700228,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,94,72.2222,1,7,1743194260.700229,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,95,72.2222,1,7,1743194260.70026,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,96,72.2222,1,7,1743194260.700261,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,97,72.2222,1,7,1743194260.700263,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,98,72.2222,1,7,1743194260.700264,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,99,72.2222,1,7,1743194260.700265,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,100,72.2222,1,7,1743194260.700266,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,101,72.2222,1,7,1743194260.700268,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,102,72.2222,1,7,1743194260.700269,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,103,72.2222,1,7,1743194260.700275,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,104,72.2222,1,7,1743194260.700276,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,107,72.2222,1,7,1743194260.740638,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-44,0,109,72.2222,1,7,1743194260.764614,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,111,72.2222,1,7,1743194260.78305,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,113,72.2222,1,7,1743194260.83387,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,114,72.2222,1,7,1743194260.833876,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,116,72.2222,1,7,1743194260.89668,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,118,72.2222,1,7,1743194260.897728,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,120,72.2222,1,7,1743194260.900446,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,122,72.2222,1,7,1743194260.901573,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,124,72.2222,1,7,1743194260.904576,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,125,72.2222,1,7,1743194260.905149,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,126,72.2222,1,7,1743194260.905155,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,128,72.2222,1,7,1743194260.905813,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,129,72.2222,1,7,1743194260.906763,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,132,72.2222,1,7,1743194260.907508,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,135,72.2222,1,7,1743194260.908587,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,136,72.2222,1,7,1743194260.90859,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,138,72.2222,1,7,1743194260.909432,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,140,72.2222,1,7,1743194260.91052,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,141,72.2222,1,7,1743194260.910523,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,143,72.2222,1,7,1743194260.911415,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,144,72.2222,1,7,1743194260.912433,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,145,72.2222,1,7,1743194260.912867,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,149,72.2222,1,7,1743194260.91398,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,151,72.2222,1,7,1743194260.914729,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,152,72.2222,1,7,1743194260.915037,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,155,72.2222,1,7,1743194260.916667,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,156,72.2222,1,7,1743194260.91751,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,157,72.2222,1,7,1743194260.917517,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,158,72.2222,1,7,1743194260.917903,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,159,72.2222,1,7,1743194260.918342,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,163,72.2222,1,7,1743194260.91905,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,165,72.2222,1,7,1743194260.919898,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,166,72.2222,1,7,1743194260.919903,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,168,72.2222,1,7,1743194260.9207,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,169,72.2222,1,7,1743194260.921742,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,170,72.2222,1,7,1743194260.922202,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,173,72.2222,1,7,1743194260.923397,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,174,72.2222,1,7,1743194260.923404,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,175,72.2222,1,7,1743194260.923792,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,178,72.2222,1,7,1743194260.925015,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,179,72.2222,1,7,1743194260.92502,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,181,72.2222,1,7,1743194260.926093,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,182,72.2222,1,7,1743194260.926098,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,184,72.2222,1,7,1743194260.926931,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,186,72.2222,1,7,1743194260.929655,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,187,72.2222,1,7,1743194260.92966,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,188,72.2222,1,7,1743194260.930074,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,189,72.2222,1,7,1743194260.930828,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,190,72.2222,1,7,1743194260.930833,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,194,72.2222,1,7,1743194260.931808,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,195,72.2222,1,7,1743194260.932221,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,198,72.2222,1,7,1743194260.957637,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,199,72.2222,1,7,1743194260.957641,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,200,72.2222,1,7,1743194260.957645,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,201,72.2222,1,7,1743194260.957646,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,202,72.2222,1,7,1743194260.957647,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,203,72.2222,1,7,1743194260.957648,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,204,72.2222,1,7,1743194260.95765,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,205,72.2222,1,7,1743194260.957651,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,206,72.2222,1,7,1743194260.957665,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,207,72.2222,1,7,1743194260.957666,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,208,72.2222,1,7,1743194260.957668,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,209,72.2222,1,7,1743194260.957669,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,210,72.2222,1,7,1743194260.95767,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,211,72.2222,1,7,1743194260.957671,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,212,72.2222,1,7,1743194260.957674,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,213,72.2222,1,7,1743194260.957675,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,214,72.2222,1,7,1743194260.957681,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,215,72.2222,1,7,1743194260.957681,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,216,72.2222,1,7,1743194260.957684,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,217,72.2222,1,7,1743194260.957685,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,218,72.2222,1,7,1743194260.957686,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,219,72.2222,1,7,1743194260.957687,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,220,72.2222,1,7,1743194260.957689,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,221,72.2222,1,7,1743194260.95769,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,222,72.2222,1,7,1743194260.957695,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,223,72.2222,1,7,1743194260.957696,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,224,72.2222,1,7,1743194260.957698,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,225,72.2222,1,7,1743194260.957699,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,226,72.2222,1,7,1743194260.959478,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,227,72.2222,1,7,1743194260.959481,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,228,72.2222,1,7,1743194260.959483,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,229,72.2222,1,7,1743194260.959484,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,230,72.2222,1,7,1743194260.959486,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,231,72.2222,1,7,1743194260.959487,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,232,72.2222,1,7,1743194260.959489,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,233,72.2222,1,7,1743194260.95949,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-46,0,234,72.2222,1,7,1743194260.959509,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,236,72.2222,1,7,1743194260.960438,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,237,72.2222,1,7,1743194260.96044,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,238,72.2222,1,7,1743194260.960442,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,239,72.2222,1,7,1743194260.960936,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,240,72.2222,1,7,1743194260.960939,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,246,72.2222,1,7,1743194260.962591,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,247,72.2222,1,7,1743194260.962594,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,248,72.2222,1,7,1743194260.962596,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,1,249,72.2222,1,7,1743194260.962596,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,251,72.2222,1,7,1743194260.963512,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,252,72.2222,1,7,1743194260.963514,1532,20,0
1e:6c:64:6b:55:b8,802.11n (HT),11,2462,-45,0,253,72.2222,1,7,1743194260.96411,1532,20,0
